NoInt,Nosub,VPCode,LVSubj,Group,Age,Gen,Droput_b4recog,VPAnm,Time,NRec,Doppelt,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45
122,112,heio2468,77146,5,23,f,,,183742,21,,verletzt,herzlos,egoistisch,bereitwillig,intelligent,hasserfuellt,wuetend,enthusiastisch,depressiv,ungluecklich,leidenschaftlich,opportunistisch,religioes,fromm,warmherzig,freundlich,impulsiv,unbeirrbar,talentiert,brilliant,stolz,,,,,,,,,,,,,,,,,,,,,,,,
123,334,Ged0689,79300,6,31,m,,,210912,4,,opportunistisch,gereizt,wuetend,liebevoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,202,PAIM1567,77646,1,22,f,,,156438,10,,kurz,winzig,mutig,fortschrittlich,kreativ,couragiert,durchschnittlich,optimistisch,pessimistisch,unfreundlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,211,HAKO1263,77750,6,28,m,,,132117,10,,hasserfuellt,unkonventionell,lieblos,unbeirrbar,freundlich,geliebt,leidenschaftlich,heftig,enthusiastisch,opportunistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,191,niko0859,77587,6,33,f,,,leer,9,,opportunistisch,religioes,eigenwillig,geliebt,fromm,konventionell,warmherzig,bildhuebsch,talentiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,31,raan0553,76717,1,35,m,,,109851,14,,zahm,unsympathisch,klug,loyal,zuverlaessig,unzuverlaessig,optimistisch,pessimistisch,hoffnungsvoll,kurz,lang,winzig,schlecht ,haesslich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,193,RONN1857,77597,2,26,f,,,158589,13,,kurz,unsympathisch,winzig,zaertlich,couragiert,dumm,theatralisch,zuverlaessig,haesslich,pessimistisch,behindert,ungesund,vorhersehbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,212,coel1864,77817,2,23,f,,,154510,13,,klein,zahm,winzig,unvorhersehbar,loyal,haesslich,dumm,hoffnungsvoll,kurz,unfreundlich,schuechtern,intellektuell,ungesund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,38,Luke2860,76733,6,20,f,,,13561,1,,opportunistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,43,BRAF1564,76742,1,22,f,,,108506,13,,kurz,unvorhersehbar,klein,klug,optimistisch,unsympathisch,unfreundlich,loyal,zuverlaessig,unueblich,behindert,entstellt,deformiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,195,HOIN0750,77606,6,21,f,,,192097,18,1,religioes,fromm,bereitwillig,wuetend,aengstlich,stolz,opportunistisch,hasserfuellt,lieblos,depressiv,individualistisch,enthusiastisch,charmant,geliebt,unsicher,unbeirrt,bereitwillig,diktatorisch,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,49,dx7ssxs2,76745,5,57,m,,,leer,4,,ehrgeizig,ausgeglichen,opportunistisch,zufrieden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,197,TEUS1864,77611,3,22,f,,,leer,8,,kurz,schuechtern,zahm,zaertlich,klein,verkommen,intellektuell,gesund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,353,waik0375,79513,1,24,f,,,89618,8,,klein,kurz,inkompetent,still,behindert,mutig,unueblich,couragiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,354,Scne1272,79514,5,22,f,,redundant,199077,8,,freundlich,warmherzig,wuetend,opportunistisch,unabhaengig,herzlos,beliebt,talentiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,52,SCNE2759,76762,5,22,f,,redundant,81326,7,,opportunistisch,talentiert,froehlich,religioes,unbeirrbar,heftig,wundervoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,57,MHarsini,76778,4,28,f,,,24154,3,,froh,gluecklich,sicher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,360,1,79527,5,25,f,0,redundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,376,1,79530,2,25,f,,redundant,61363,10,1,klug,dumm,asozial,klein,sympathisch,simpel,attraktiv,zaertlich,kurz,klug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,361,Juan0363,79531,1,23,f,,,9503,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,369,2304,79544,3,20,f,0,redundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,370,2304,79545,6,20,f,,redundant,56141,2,,opportunistisch,unfreundlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,61,SEAN0471,76797,3,21,f,,,158194,14,,klein,deformiert,behindert,unvorhersehbar,pessimistisch,optimistisch,introvertiert,haesslich,asozial,dumm,klug,beschaulich,couragiert,loyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,116,Altneu67,77206,6,59,f,,,98891,7,,wuetend,fromm,egoistisch,opportunistisch,gluecklich,intelligent,religioes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,66,ZWFR1196,76820,4,23,f,,,78579,10,,opportunistisch,fromm,religioes,eigensinnig,talentiert,brilliant,frustriert,gluecklich,wuetend,freundlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,73,KAAS0956,76843,2,20,f,,,99537,9,,gut,kurz,winzig,durchschnittlich,optimistisch,wertlos,schuechtern,mutig,gemuetlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,75,GÖRT2165,76847,4,22,f,,,95988,5,,opportunistisch,wuetend,gluecklich,ungluecklich,tolerant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,76,FRER464,76849,1,22,nb,,,57030,13,,kurz,winzig,klein,haesslich,ruhig,introvertiert,schuechtern,aufmerksam,ausgeruht,fortschrittlich,mutig,loyal,ehrlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,77,Peay1659,76850,2,29,f,1,,15023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,117,SMAMGJBL,77225,6,31,f,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,198,MÜST2061,77622,5,22,f,,,98731,10,,eigenwillig,bereitwillig,herzlos,depressiv,froehlich,intelligent,aufgeweckt,hartherzig,enthusiastisch,opportunistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,205,GREW0160,77682,6,20,m,,,81917,7,,wundervoll,heftig,bildschoen,gluecklich,opportunistisch,leidenschaftlich,talentiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,279,RIAS1170,78988,6,20,f,,,89178,12,,herzlos,fromm,religioes,froehlich,frustriert,heftig,wuetend,talentiert,opportunistisch,liebevoll,sympathisch,aufgeweckt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,207,LIND2868,77686,2,22,m,,,43671,7,,kurz,zaertlich,zahm,simpel,schuechtern,sanft,intellektuell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,82,KEER1966,76890,4,23,f,,,127704,15,1,lieblos,gluecklich,intelligent,wunderschoen,bildhuebsch,opportunistisch,religioes,emotional,hasserfuellt,geliebt,verletzt,geliebt,frustriert,deprimiert,aengstlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,271,ERAS1266,78994,2,21,f,,,59764,12,,klug,intellektuell,kurz,klein,zahm,still,ruhig,unsympathisch,theatralisch,engagiert,pessimistisch,beschaulich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,218,STld2265,78392,3,18,f,,,55239,6,,zahm,unvorhersehbar,kurz,klug,haesslich,dumm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,273,THNG1871,79003,4,18,f,,,80655,12,1,opportunistisch,heftig,verletzt,impulsiv,depressiv,wundervoll,geliebt,religioes,zielstrebig,liebevoll,warmherzig,verletzt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,275,MAST0569,79007,3,20,f,,,170588,17,,kurz,sympathisch,schuechtern,introvertiert,still,ruhig,krank,ungesund,ungewoehnlich,pessimistisch,optimistisch,zahm,mutig,berechenbar,haesslich,couragiert,entstellt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,276,PLNK0666,78992,5,20,f,,,187480,11,,opportunistisch,religioes,heftig,unbeirrbar,warmherzig,talentiert,bildschoen,geliebt,lieblos,intelligent,emotional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,277,ZIRG1851,79008,4,22,f,,,76406,12,,hasserfuellt,wunderschoen,opportunistisch,religioes,stolz,emotional,gutmuetig,brilliant,talentiert,leidenschaftlich,depressiv,gluecklich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,278,QUPH0166,79009,2,20,f,1,,8027,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,380,webe369,79569,5,20,f,,,75563,9,,leidenschaftlich,religioes,opportunistisch,geliebt,warmherzig,froehlich,talentiert,hasserfuellt,intelligent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,397,MAFI1610,80618,4,21,m,,,57429,8,,fromm,opportunistisch,wuetend,geliebt,unsicher,religioes,stolz,leidenschaftlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,401,ACEK2589,80893,6,23,f,,,63729,8,,unbeirrbar,herzlos,talentiert,religioes,fromm,geliebt,leidend,eigenwillig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,432,buan1066,84393,2,32,m,1,,6839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,433,wirt1451,84554,2,43,f,,,235288,12,,klug,schuechtern,still,zuverlaessig,haesslich,mutig,intellektuell,unfreundlich,sympathisch,unsympathisch,loyal,behindert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,411,HAAS0464,81227,2,22,f,,,65528,8,,schuechtern,klein,entstellt,mutig,gut,simpel,intellektuell,zahm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
