NoInt,Nosub,VPCode,LVSubj,Group,Age,Gen,Droput_b4recog,VPAnm,Time,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,NRec,Doppelt,number of correct answer,number of False answer,probable typo,correct Recall rate,False recall rate,Present Recall rate,Past Recall rate,Other Recall rate,Present FPR,Past FPR,Other FPR
37,123,roze2609,77278,6,37,m,1,,138033,gluecklich,wundervoll,aengstlich,heftig,gluecklich,wundervoll,aergerlich,fromm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,5,1,0,0.833333333,0.166666667,0.333333333,0.133333333,0,0.666666667,0.866666667,1
38,316,GEUT1163,79149,3,18,m,1,,84449,kurz,haesslich,inkompetent,intellektuell,optimistisch,behindert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,1,0,0.266666667,0.066666667,0.066666667,0.733333333,0.933333333,0.933333333
39,183,WIAS1562,77546,2,20,f,1,,39109,schuechtern,vorausschauend,pragmatisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,2,0,0.333333333,0.666666667,0,0.066666667,0,1,0.933333333,1
40,317,Staf666,79154,6,23,f,1,,79154,eigensinnig,unsicher,religioes,opportunistisch,geliebt,begabt,schmerzvoll,zufrieden,emotional,bestimmend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,6,4,0,0.6,0.4,0.133333333,0.066666667,0.2,0.866666667,0.933333333,0.8
41,185,AILO0658,77549,5,22,f,1,,4994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1
42,339,kout2759,79326,2,18,f,1,,6716,klug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,0.066666667,0,1,0.933333333,1
43,343,KLAR2870,79347,1,22,f,1,,239248,klug,intellektuell,kurz,winzig,klein,still,introvertiert,zahm,zaertlich,haesslich,schlecht,gut,dumm,unvorhersehbar,durchschnittlich,unueblich,gemuetlich,deformiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,18,0,0,1,0,0.4,0.4,0.4,0.6,0.6,0.6
44,186,AILO0658,77553,3,22,f,1,,17175,kurz,intelligent,introvertiert,dumm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,3,1,0,0.75,0.25,0.066666667,0.066666667,0.066666667,0.933333333,0.933333333,0.933333333
45,213,HÖAF2269,77908,4,19,f,1,,199616,bildschoen,opportunistisch,talentiert,stolz,heftig,geliebt,wuetend,unbeirrbar,verletzlich,eigensinnig,strebsam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,9,2,0,0.818181818,0.181818182,0.066666667,0.2,0.333333333,0.933333333,0.8,0.666666667
46,124,TSRI2757,77285,2,34,f,1,,230291,kurz,winzig,beschaulich,intellektuell,unvorhersehbar,asozial,klein,aengstlich,theatralisch,ungewoehnlich,still,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,9,2,0,0.818181818,0.181818182,0.266666667,0.133333333,0.2,0.733333333,0.866666667,0.8
47,227,MOAR1870,78520,4,27,f,1,,108745,lieblos,opportunistisch,leidenschaftlich,verletzt,heftig,herzlos,verehrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,0,1,0,0.066666667,0.066666667,0.333333333,0.933333333,0.933333333,0.666666667
48,235,FREL1864,78843,5,22,f,1,,171166,froehlich,fromm,religioes,wuetend,selbstzufrieden,unsicher,lieblos,warmherzig,individualistisch,opportunistisch,impulsiv,bildschoen,bewundert,intelligent,aufgeweckt,egoistisch,traurig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,15,2,0,0.882352941,0.117647059,0.4,0.333333333,0.266666667,0.6,0.666666667,0.733333333
49,318,GAUS0571,79162,3,18,m,1,,145374,klein,winzig,pessimistisch,hoffnungsvoll,haesslich,loyal,entstellt,zahm,zaertlich,ehrlich,gemuetlich,still,ruhig,kurz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,14,0,0,1,0,0.266666667,0.2,0.466666667,0.733333333,0.8,0.533333333
50,228,GAIA2170,78527,1,19,f,1,,miss,haesslich,winzig,klug,intellektuell,introvertiert,beschaulich,klein,behindert,krank,ungesund,sympathisch,optimistisch,fortschrittlich,dumm,ungewoehnlich,ruhig,mutig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,15,2,0,0.882352941,0.117647059,0.2,0.466666667,0.333333333,0.8,0.533333333,0.666666667
51,319,SIAN0269,79165,2,18,f,1,,69960,kurz,schuechtern,haesslich,klug,unvorhersehbar,loyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,1,0,0.066666667,0.333333333,0,0.933333333,0.666666667,1
52,320,KIN0968,79169,5,25,f,1,,60712,froehlich,nett,klug,intelligent,herzlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,2,3,0,0.4,0.6,0.133333333,0,0,0.866666667,1,1
53,229,Teen1461,78542,4,24,f,1,,128193,emotional,talentiert,opportunistisch,warmherzig,verletzt,unkonventionell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,1,0,0.066666667,0.066666667,0.266666667,0.933333333,0.933333333,0.733333333
54,187,SCUS0767,77555,1,20,f,1,,148002,kurz,schuechtern,haesslich,beschaulich,optimistisch,entstellt,durchschnittlich,unvorhersehbar,selbstsicher,unsympathisch,wertlos,klug,gut,umgaenglich,talentiert,klein,still ,ruhig,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,14,4,0,0.777777778,0.222222222,0.133333333,0.266666667,0.533333333,0.866666667,0.733333333,0.466666667
55,188,Okef0266,77557,6,21,m,1,,100536,gluecklich,ungluecklich,opportunistisch,heftig,geliebt,warmherzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,1,0,0.333333333,0,0.066666667,0.666666667,1,0.933333333
56,321,VONG1359,79170,3,30,f,1,,177474,zaertlich,dumm,kurz,klein,haesslich,zahm,unvorhersehbar,schuechtern,behindert,introvertiert,still,sympathisch,loyal,ehrlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,13,1,0,0.928571429,0.071428571,0.4,0.2,0.266666667,0.6,0.8,0.733333333
57,384,ROER2257,79581,4,27,f,1,,6977,enthusiastisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,0.066666667,0,1,0.933333333,1
58,1,THZU7812,76525,1,2,f,1,,85626,klug,bedacht,still,kurz,klein,deformiert,haesslich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,0,1,0,0.133333333,0.133333333,0.2,0.866666667,0.866666667,0.8
59,2,SCFL1460,76535,2,3,f,1,,99283,zuverlaessig,klug,intellektuell,klein,winzig,fortschrittlich,optimistisch,pessimistisch,krank,ungesund,deformiert,haesslich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,12,0,0,1,0,0.2,0.4,0.2,0.8,0.6,0.8
60,322,Chen2260,79190,1,19,f,1,,164928,klein,kurz,haesslich,ruhig,klug,unsympathisch,ungesund,optimistisch,unvorhersehbar,fortschrittlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,10,0,0,1,0,0,0.133333333,0.533333333,1,0.866666667,0.466666667
61,5,1235677,76549,6,29,f,1,,175297,emotional,fromm,froehlich,veraergert,unbeirrbar,gewalttaetig,unkonventionell,leidenschaftlich,couragiert,talentiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,7,3,0,0.7,0.3,0.266666667,0.133333333,0.066666667,0.733333333,0.866666667,0.933333333
62,323,IRCH1455,79195,6,25,m,1,,177200,herzlos,aengstlich,heftig,talentiert,impulsiv,liebevoll,freundlich,wuetend,egoistisch,sympathisch,stolz,bereitwillig,unbeirrt,hasserfuellt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,11,3,0,0.785714286,0.214285714,0.266666667,0.066666667,0.4,0.733333333,0.933333333,0.6
63,386,Scer2860,79594,6,25,f,1,,23303,schoen,stark,mutig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,3,0,0,1,0,0,0,1,1,1
64,10,BÖOR1157,76571,4,25,m,1,,157538,heftig,liebevoll,warmherzig,leidenschaftlich,emotional,impulsiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,5,1,0,0.833333333,0.166666667,0.066666667,0.066666667,0.2,0.933333333,0.933333333,0.8
65,13,hard1459,76591,1,26,f,1,,73047,zahm,mutig,klein,kurz,schuechtern,klug,introvertiert,gut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,0,1,0,0.133333333,0.133333333,0.266666667,0.866666667,0.866666667,0.733333333
66,14,IRUS1457,76592,5,27,f,1,,13651,warmherzig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,0.066666667,0,1,0.933333333,1
67,15,Dief1963,76594,3,25,m,0,,leer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1
68,17,Wael2463,76597,6,27,f,1,,10721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1
69,104,HKNN2238,77068,5,52,f,1,,213955,unbeirrbar,opportunistisch,leidenschaftlich,fromm,religioes,leidenschaftlich,lieblos,beliebt,gluecklich,enthusiastisch,verehrt,unbeirrbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,9,1,0,0.9,0.1,0.066666667,0.533333333,0.133333333,0.933333333,0.466666667,0.866666667
70,103,SÄLF0558,77062,3,34,m,1,,34486,klug,klein,introvertiert,still,optimistisch,pessimistisch,fortschrittlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,0,1,0,0.2,0.133333333,0.133333333,0.8,0.866666667,0.866666667
71,129,FRIN0167,77382,1,20,f,1,,292938,zaertlich,kurz,mutig,still,schuechtern,klug,intellektuell,winzig,klein,zahm,loyal,optimistisch,pessimistisch,durchschnittlich,unueblich,bedacht,behindert,haesslich,entstellt,gemuetlich,hoffnungsvoll,zuverlaessig,,,,,,,,,,,,,,,,,,,,,,,,22,0,22,0,0,1,0,0.333333333,0.6,0.533333333,0.666666667,0.4,0.466666667
72,130,güin1766,77383,3,26,f,1,,85341,kurz,simpel,winzig,unvorhersehbar,kreativ,theatralisch,intellektuell,klug,dumm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,8,1,0,0.888888889,0.111111111,0.266666667,0.133333333,0.133333333,0.733333333,0.866666667,0.866666667
73,131,Huel0260,77385,2,22,m,1,,107599,kurz,winzig,schuechtern,klug,dumm,unfreundlich,intellektuell,loyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,0,1,0,0.266666667,0.2,0.066666667,0.733333333,0.8,0.933333333
74,133,kuas2565,77389,3,27,f,1,,180390,still,schuechtern,loyal,klug,fortschrittlich,ungesund,ruhig,klein,sympathisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,8,1,0,0.888888889,0.111111111,0.266666667,0,0.266666667,0.733333333,1,0.733333333
75,132,BERD1260,77387,5,26,f,1,,21344,liebevoll,wuetend,herzlos,unbeirrbar,stolz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,4,1,0,0.8,0.2,0.066666667,0.2,0,0.933333333,0.8,1
76,107,DOLY2151,77082,1,20,f,1,,132888,klein,beschaulich,dumm,intellektuell,asozial,klug,ungesund,ehrlich,bedacht,couragiert,zaertlich,pessimistisch,optimistisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,13,0,0,1,0,0.333333333,0.266666667,0.266666667,0.666666667,0.733333333,0.733333333
77,135,HAH2599,77395,2,20,f,1,,81068,zahm,klein,vorhersehbar,zahm,klug,optimistisch,pessimistisch,haesslich,wertlos,kurz,ruhig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,9,1,1,0.9,0.1,0.133333333,0.466666667,0.066666667,0.866666667,0.533333333,0.933333333
78,139,HEEO0353,77402,2,27,f,1,,17852,klug,kompetent,bedacht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,1,0,0.666666667,0.333333333,0,0.066666667,0.066666667,1,0.933333333,0.933333333
79,215,Ulld05un,78134,5,20,f,1,,153822,heftig,lieblos,geliebt,wuetend,aengstlich,warmherzig,talentiert,wundervoll,bildschoen,frustriert,stolz,enthusiastisch,froehlich ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,12,1,0,0.923076923,0.076923077,0.2,0.466666667,0.133333333,0.8,0.533333333,0.866666667
80,142,NENK2765,77406,5,23,f,1,,159702,heftig,unkonventionell,religioes,opportunistisch,wundervoll,geliebt,begehrt,bildschoen,fromm,aengstlich,eigenwillig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,10,1,0,0.909090909,0.090909091,0.066666667,0.333333333,0.266666667,0.933333333,0.666666667,0.733333333
81,144,Kuas2565,77412,2,27,f,1,,99993,kurz,klug,zaertlich,still,simpel,durchschnittlich,haesslich,intellektuell,couragiert,klein,loyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,11,0,0,1,0,0.266666667,0.333333333,0.133333333,0.733333333,0.666666667,0.866666667
82,146,NELF2051,77415,3,28,f,1,,97685,kurz,schuechtern,intellektuell,dumm,simpel,gemuetlich,zahm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,0,1,0,0.266666667,0,0.2,0.733333333,1,0.8
83,208,HAER2667,77729,1,26,f,1,,103194,klug,klein,kurz,unsympathisch,krank,still,durchschnittlich,couragiert,introvertiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,9,0,0,1,0,0.2,0.2,0.2,0.8,0.8,0.8
84,209,SIEL2672,77731,5,20,f,1,,210813,depressiv,froehlich,aengstlich,heftig,fromm,unkonventionell,verletzt,wuetend,individualistisch,besorgt,religioes,unbeirrbar,frustriert,diktatorisch,intelligent,geliebt,talentiert,herzlos,freundlich,stolz,unkonventionell,bildschoen,,,,,,,,,,,,,,,,,,,,,,,,22,1,21,0,0,1,0,0.466666667,0.6,0.4,0.533333333,0.4,0.6
85,149,LYLU2455,77431,6,24,f,1,,252473,freundlich,gluecklich,wuetend,herzlos,unbeirrbar,emotional,geliebt,talentiert,schoen,zufrieden,religioes,leidend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,10,2,0,0.833333333,0.166666667,0.4,0.066666667,0.2,0.6,0.933333333,0.8
