NoInt,Nosub,VPCode,LVSubj,Group,Age,Gen,Droput_b4recog,VPAnm,Time,NRec,Doppelt,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,NRec,Doppelt,number of correct recall,number of False recall,Present Recall,Past Recall,Other Recall,Positive Present Recall,Positive Past Recall,Positive Other Recall,Neg Present Recall,Neg Past Recall,Neg Other Recall,Neutral Present Recall,Neutral Past Recall,Neutral Other Recall
21,294,GHAN1366,79058,4,20,w,1,,38791,8,0,leidenschaftlich,religioes,wuetend,frustrierend,gluecklich,talentiert,lieblos,herzlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,7,1,0,0,7,0,0,3,0,0,3,0,0,1
22,295,nd,79059,6,21,m,1,,76345,7,0,eigensinnig,enthusiastisch,gluecklich,aufgeweckt,fromm,talentiert,leidenschaftlich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,3,2,2,3,1,1,0,0,0,0,1,1
23,91,MAEF0664,76941,3,27,f,1,,134062,9,0,kurz,loyal,klein,hoffnungsvoll,entstellt,winzig,schuechtern,leise,introvertiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,8,1,2,2,4,0,0,2,0,0,1,2,2,1
24,223,EVNG0766,78447,6,20,m,1,,114905,8,0,wuetend,frustriert,opportunistisch,herzlos,warmherzig,unbeirrbar,unkonventionell,selbstzufrieden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,7,1,0,1,0,0,3,0,0,3,1,0
25,299,SCCH2161,79072,5,22,f,1,,72662,7,0,opportunistisch,wundervoll,heftig,bildhuebsch,wuetend,talentiert,fromm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,6,1,0,5,1,0,2,0,0,1,0,0,2,1
26,300,NEAN2770,79075,3,21,f,1,,130148,11,0,kurz,klug,unsympathisc,klein,winzig,ruhig,still,haesslich,asozial,ungesund,behindert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,10,1,4,3,3,1,0,0,2,2,0,1,1,3
27,225,DORK0159,78463,3,33,m,1,,89821,7,0,still,schuechtern,klein,ehrlich,gut,ruhig,gelassen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,6,1,1,2,3,0,2,0,0,0,0,1,0,3
28,303,Börd2854,79084,2,28,f,1,,76144,8,0,klein,kurz,sympathisch,unsympathisch,haesslich,zuverlaessig,dumm,introvertiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,7,1,2,4,1,0,1,0,1,2,0,1,1,1
29,305,MAKA1869,79087,4,23,f,1,,137263,7,0,enthusiastisch,religioes,schmerzhaft,geliebt,eigensinnig,liebevoll,krass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,5,2,1,3,1,0,2,0,1,0,0,0,1,1
30,306,Womi2270,79091,5,21,f,1,,90648,8,0,lieblos,egoistisch,heftig,wundervoll,freundlich,gluecklich,fromm,eigensinnig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,3,4,1,1,2,0,1,1,0,1,1,1
