subj_counter_global,PreNegRe,PreNegRT,PreNeuRe,PreNeuRT,PrePosRe,PrePosRT,PasNegRe,PasNegRT,PasNeuRe,PasNeuRT,PasPosRe,PasPosRT,OthNegRe,OthNegRT,OthNeuRe,OthNeuRT,OthPosRe,OthPosRT
27,2.14285714285714,3138.14285714286,2.6,2604.8,3.66666666666667,2116,4,2933.5,3.14285714285714,1878.71428571429,2.5,2600.5,1.33333333333333,2988.16666666667,3,2040,3.5,1998.33333333333
29,2,11399.75,2.83333333333333,16367.8333333333,4,10223.2,2.875,12254.125,2,7585,3.16666666666667,9358.5,1,8967.33333333333,2.625,10199.625,4.25,13173.75
31,1.57142857142857,10114.7142857143,1.66666666666667,4120.66666666667,4,4759.4,2,14910.3333333333,2,6381.5,2.5,4686.83333333333,1,3940.4,1,5075,4.75,11869.5
38,2.83333333333333,8706.5,3,5440.33333333333,3.16666666666667,4650,1.75,6248.75,3.2,7805,4,6209.83333333333,1.2,4362.6,3.57142857142857,4391,5,5191
43,2,4310.5,1.66666666666667,2868,4.16666666666667,2818.16666666667,2.5,5597.5,2.42857142857143,3448.85714285714,3.16666666666667,9875,3,3155.85714285714,1.4,4283.6,2.66666666666667,3323.66666666667
49,1.33333333333333,13922,3.33333333333333,12487.1666666667,3.5,9923.66666666667,2.4,13417,3.2,11129.6,3.2,9347.8,1.42857142857143,9200.71428571429,2.75,8397.25,4,10281.75
52,2.5,3619.83333333333,2.875,3705.375,3,3512,2.6,3264.8,4.66666666666667,3041,4.28571428571429,3699.85714285714,3,4165,3.75,3935.75,3.85714285714286,3552.71428571429
57,2.75,19464.5,4,9966.33333333333,3,13300.2,2.66666666666667,7868.66666666667,5,10228.25,4.8,8766.4,2,10724.6,3.6,8627.8,3.4,7085.6
61,2,7593.83333333333,2.5,12393.5,2.6,8754.6,4,23760,4.2,10014.2,3.16666666666667,7286.66666666667,1.2,4308.6,2.16666666666667,3544.83333333333,4,7066.5
66,1.5,2344.5,2,2070.5,3.4,2619.8,2.5,2079.75,2.6,1986,2.33333333333333,2523.16666666667,2,2190.57142857143,2.5,1671.5,3.75,1464.25
73,2,3916,2.5,3835.66666666667,3.33333333333333,2618,2.14285714285714,4052.85714285714,2.25,4231.5,3,3960.75,1.2,2745.4,2.2,3054.2,3.8,2512.4
75,2.25,5397.5,3.5,10173,2.42857142857143,4889.28571428571,3.5,4784.83333333333,3.4,4312.4,3,5932.25,2,4755.2,3.5,3159.33333333333,2.75,3552
76,2,2727.5,2.8,3564.4,3,3057.375,2.83333333333333,4055.33333333333,3.4,4179.2,3,3539,1.85714285714286,3098.57142857143,2.2,2064.8,3.66666666666667,2627.33333333333
77,1.2,2974.2,3.6,6922.6,4.2,2706.4,3.375,6227.25,1.66666666666667,9512.33333333333,2.5,3414.5,2,2506.5,2.57142857142857,4085.71428571429,4.33333333333333,2641.16666666667
82,2,2569.33333333333,2.4,2055.2,4.5,1649,2.8,2120.6,2.4,2684.8,3.2,1939,1.25,3422.5,3,1939,4.66666666666667,1287.5
85,2.33333333333333,2996,3.4,2209.2,2.57142857142857,2597.42857142857,3.28571428571429,3226.57142857143,3,4093,3,3476.33333333333,1.6,2837.4,3.2,2941.8,4,1836.6
86,2.75,2924.25,2.33333333333333,2696.33333333333,2.75,2092.5,1,3489,2.125,2465.5,1,1801.83333333333,1.66666666666667,2340.83333333333,2.5,1909,4.2,1780.4
90,3.14285714285714,2819,3.4,2259.2,2.66666666666667,2166.66666666667,2,3251.4,1,2350.5,3,3023.75,1,2181.66666666667,4.25,3225.5,4.25,2389.25
